#LIBRARY    JENDL-5
#REACTION   CR-50(N,G)CR-51,SIG
#NUCLEUS    Cr-50
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 1.10939473e+04 0.014513 Lin-Lin
 1.12809150e+04 0.013500 Lin-Lin
 1.14449180e+04 0.012687 Lin-Lin
 1.16399717e+04 0.011814 Lin-Lin
 1.18350254e+04 0.011023 Lin-Lin
 1.20300791e+04 0.010309 Lin-Lin
 1.22202793e+04 0.009675 Lin-Lin
 1.24218662e+04 0.009063 Lin-Lin
 1.26234521e+04 0.008506 Lin-Lin
 1.28250381e+04 0.007998 Lin-Lin
 1.30253271e+04 0.007535 Lin-Lin
 1.32799805e+04 0.007003 Lin-Lin
 1.35346348e+04 0.006525 Lin-Lin
 1.37892881e+04 0.006094 Lin-Lin
 1.40546172e+04 0.005689 Lin-Lin
 1.43179141e+04 0.005327 Lin-Lin
 1.45685049e+04 0.005014 Lin-Lin
 1.48190957e+04 0.004729 Lin-Lin
 1.50696865e+04 0.004469 Lin-Lin
 1.53500225e+04 0.004206 Lin-Lin
 1.56161738e+04 0.003977 Lin-Lin
 1.58823252e+04 0.003770 Lin-Lin
 1.61963848e+04 0.003549 Lin-Lin
 1.64968418e+04 0.003361 Lin-Lin
 1.67849512e+04 0.003200 Lin-Lin
 1.70371797e+04 0.003077 Lin-Lin
 1.73073828e+04 0.002967 Lin-Lin
 1.74671758e+04 0.002918 Lin-Lin
 1.76066211e+04 0.002884 Lin-Lin
 1.77438379e+04 0.002870 Lin-Lin
 1.77573379e+04 0.002870 Lin-Lin
 1.78653281e+04 0.002881 Lin-Lin
 1.79341191e+04 0.002901 Lin-Lin
 1.79968086e+04 0.002936 Lin-Lin
 1.80386035e+04 0.002969 Lin-Lin
 1.80756836e+04 0.003008 Lin-Lin
 1.81242305e+04 0.003077 Lin-Lin
 1.81565957e+04 0.003138 Lin-Lin
 1.81889609e+04 0.003216 Lin-Lin
 1.82171543e+04 0.003302 Lin-Lin
 1.82453457e+04 0.003409 Lin-Lin
 1.82728281e+04 0.003540 Lin-Lin
